bugid,sd,rs
554535,Improve odesign for class diagram,1
554536,Add Mode and State mixed hierarchy configuration option,1
554537,Allow specifier to choose the selected elements after a tool execution,1
554538,Allow container without border,1
554539,Dnd of Mode/State does not update the referencedStates reference,1
554540,Logical Component Decomposition Wizard can't distinguish between acquisition and transmission,1
554541,Custom BackgroundColors are lost with Sirius 3.1,1
554542,[LFBD] Already existing Logical Function used as root in a LFBD diagram don't have the right color.,1
554543,"When dragNdrop without automatic refresh, ports are not updated",1
554545,[DIAGRAM] Two issues on diagram (small icon & new diagram name)),1
554546,Migrate odesign to Sirius 3.1,1
554547,"Clean diagram validation decorators through button ""Clean"" in Information View",1
554548,Insert/remove Relationships in IDB,1
554549,Cannot change an Actor to an image in a CSA,0
554550,Diagram Creation Tool for edge/port should select only the edge (for edition/moving),1
554551,Cannot add a Mode/State to a M&S diagram when it already contains a Initial/Final node,1
554552,Cannot open tables in capella-master and capella-1.0.x builds,1
554553,IllegalArgumentException when saving changes on several Sessions,1
554554,[LAB] Show/Hide component containing a function with category does not work,1
554556,Properties view on diagram element does not have focus on Semantic but Sirius element,1
554558,Can't delete a link from constraint to PComponent in [PAB],1
554559,[LAB] Allocation Management tool shall propose to allocate functions to child Logical component,1
554560,Remove references to metaclasses implementation,1
554561,[SAB] Switch category tool does not work on category between 2 parent system functions,1
554562,Remove suffix when creating diagram/scenario and remove duplicate prefix when creating scenario,1
554563,Fix insert/remove tools of Actor/Mission/Capabilities for all Capability/Mission diagrams,1
554564,Display Parent function on Parent Component with child allocating child Functions,1
554565,"New filter 'Show Modifiers"" to add information in property, exchange item element and association end labels",1
554566,Constraint renaming of nameless constraint with owned specification set this as name,1
554567,Drag-n-drop a component into a xAB impossible,1
554568,"[DIAGRAM] In LAB, DnD of a LF from a LC to a LA changes color to black",1
554569,[Scenario] Drag and Drop remove the selected element before adding it again,1
554576,Change min value of gradient color of some diagram elements and fix color of capability diagrams,1
554577,Ability to move xAB diagrams,1
554578,Migrate old colors while migration of project,1
554579,Fix AirdMigration for Sirius 4.0,1
554580,SelectElementsFromTransferWizard should allow Collections as input parameters,1
554581,[4.0 regression]Decomposition wizard: automatic interface creation and EI delegation on the fly does not work vs Interface delegation,1
554582,Mode State Machine diagram,1
554583,"[REGRESSION][MARS] Tool ""Initialization from existing diagram"" doesn't work anymore",1
554584,Improve Manipulation of Compartment,1
554585,Remove Reuse Mode/State tool from MSM diagrams and reactivate the tool Initialization from existing diagram,1
554586,"Modify palette tool name ""Arrange Linked Border Nodes"" with a end user label ""Arrange Connected Ports""",1
554587,Diagram Copy/Paste on Component allocating Function or on Node deploying Component paste a useless relationship to target element,1
554589,Regression with 1.0.1 some dependencies could disappear in some cases in [PD] Diagram,1
554590,Tooltips of Reference tool in Sequence Diagrams are not correct,1
554591,"[Regression][OAS] Create OAS Scenario create errors in error log and does not set trigram OAS (on Pr Explorer OAS, Op Capa or Act Explorer or on Diagram)",1
554592,Show in Capella Explorer doesn't work on diagram,1
554593,Disable automatic refresh after a delete in a IS diagram,1
554594,org.eclipse.sirius.diagram.ui.layoutDataManager deprecated,1
554595,[PASTE] Capella Paste does not take account of original layout copied,1
554596,Change color of lifelines,1
554597,Lollipops are too small in interface diagrams,1
554598,Label and background color are not as expected,1
554599,Incoherence between model and diagram in PAB,1
554600,"Detachment detect an invalid EReference due to ""_CAP_Lifeline_Gray_Mid""",1
554601,Deleting FOP on copied Function removes exchange from orignial Function in the diagram,1
554602,Add Diagram fix in order to migrate old diagrams annotations,1
554603,"Application of ""Fix filters on All Representations"" action on a model with State Machine and Capability Function Matrix table",1
554604,Prevent double refreshs on tools using CapellaServices.forceRefresh() when Automatic Refresh is enabled,1
554605,Improve Get Mapping By Name accesses,1
554606,Show/Hide of Function involving FE with Exchange Categories can lead to useless Edge creation,1
554607,Add the option to only clean DAnnotations instead of migrate them,1
554608,[PERFORMANCE]Switch Categories : Improve related exchanges computation,1
554609,"In MSM diagram, a transition's label should show the target of a functional exchange if the latter is chosen as the transition effect",1
554610,"On MSM diagram, it is impossible to start/end a transition on entry/do/exit activities",1
554611,Refactoring of Exchange Category creation for better testability,1
554612,[Performance][CDB] Avoid unnecessary refresh operations when executing tools + optimize refresh operation,1
554613,Semantic Candidates Expression improvements,1
554615,"[PERFORMANCE] Update Capella Basic Feature/Service/Variable interpreters with ""service:"" for mappings to speed up Diagram refresh",1
554616,"Hide Elements (FE) on synchronized diagram, FE reappears when assigned in a category, even not displayed",1
554617,"FE does not appear with ""Insert/Remove Functional Exchanges"" functionnality",1
554618,Remove legacy diagram annotations while migration,1
554619,"Remove ""UNSET"" nature button in Physical Component properties view",1
554620,Interface Diagrams doesn't set correct Physical Component Nature,1
554621,Capella wizard to edit object's property does not take into account a Section input,1
554622,"Wrong tooltip of ""Component Port Allocation"" tool",1
554624,Diagram palette tool ergonomy: merge insert Functon and insert Actor Function tools,1
554625,Freezes on ES scenario when using Lost/Found FEs Tool,1
554626,No Impact Analysis when deleting Pre/Post Condition on Sequence diagram,1
554627,"Sequence messages (except for Lost messages, Delete messages and Create messages) should not be deleted directly to avoid invalid model elements (EMF Errors)",1
554628,Drag and Drop of diagram doesn't work anymore,1
554629,"Change icons for Actor Functions in every place (Project Explorer, Property Views, ...)",1
554630,Add use of ResourceSet.getURIResourceMap,1
554631,Reorder Tools NPE,1
554632,Migration of Diagram Annotation does not work any more,1
554633,Duration are not displayed until a refresh is done on Exchange Scenario diagram.,1
554634,Startup doesn't ask for workspace anymore,1
554635,Check forceRefresh for ArmTimer and CancelTimer tools,1
554636,[Regression] Diagram descriptors cannot be deleted or renamed,1
554637,Computed Simplified links between parent components,1
554638,Fix issues for computed links between parent components,1
554639,"[Regression] Closing session after an ""Initializing from existing diagram"" action could lead to ConcurrentModificationException",1
554640,[Regression] Exception while deleting a Diagram in capella explorer,1
554641,"On old Modes and States Diagram, new MSM is not available and old menu shall be tagged DEPRECATED",1
554642,"Refresh All Sub Representations does not work with ""dirty"" diagrams",1
554643,Deactivate by default Sirius diagram Auto-scale preference,1
554645,The PreferencesHelper does not check the case if the input of the editor is null,1
554647,Migration to AQL,1
554648,Enhance creation and display of Physical Paths,1
554649,Migration to AQL - partition tests Chiffre,1
554650,Migration to AQL - partition tests SimpleVariable,1
554651,Migration to AQL - partition tests OneCallOnCurrent,1
554652,Migration to AQL - limitate the use of wrapper void2Null,1
554653,Migration to AQL - partition tests OneCallOnNotCurrent,1
554654,Migration to AQL - partition tests OneServiceCall,1
554655,Migration to AQL - partition tests StringConcatenation,1
554656,Migration to AQL - partition tests BooleanExpr,1
554657,Migration to AQL - partition tests Other,1
554658,Migration to AQL - partition tests Quantiques,1
554659,Diagram corrupted after Refresh All Sub Representations with Sirius refreshes disabled,1
554660,Migration to AQL - partition tests corrections,1
554661,Migration to AQL - partition uncovered Chiffre + OneCallOnCurrent + OneCallOnNotCurrent,1
554662,Migration to AQL - partition uncovered SimpleVariable + OneServiceCall,1
554663,Migration to AQL - partition uncovered BooleanExpr,1
554664,Migration to AQL - partition uncovered Other + StringConcatenation,1
554665,Migration to AQL - doc,1
554666,Replace deprecated scale preference by the new one,1
554667,Migration to AQL - partition MTL,1
554668,Migration to AQL - last queries (manual trads),1
554669,Regression of abstract/primitive class style (border and italic) after acceleo to aql migration,1
554670,UID must be migrated to XMI:ID,1
554671,Impacts of new UID implementation while transitioning diagrams,1
554672,Display Property values on diagrams,1
554673,Breakdown diagram refresh breaks down when the diagram contains property values,1
554674,Migration To AQL,1
554676,Ability to add multiple InstanceRoles for a single represented instance,1
554677,Fix NPE on diagram refresh / migration,1
554678,Impossible to select a link between a note and another component,1
554683,FunctionalChain internal arrow to a port without exchanges must not be displayed,1
554684,Inserting a FE on a function moves the other FE inside the function in a xDFB,1
554687,[xDFB] Cannot show Applied PropertyValueGroup if the group is a child of the applying function,1
554688,Cannot show multiple applied PropertyValueGroups,1
554689,DirectEdit for multi-InstanceRole diagrams should not change part/component name,1
554691,Improve cross referencer updates by eGetting only covered features,1
554692,Allow diagrams to reference model elements of interest,1
554693,Ability to denote a package for each diagram,1
554696,Insert OA in an [OAIB] diagram failed,1
554697,Function border is always in dashed and italic when the inserted parent is allocated too and has more than one child not allocated,1
554698,Impossible to Move/Reorder Lost Sequence Message in scenario diagram,1
554699,PropertyValues in PropertyValueGroups and unsynchronized diagrams,1
554700,Add ability to not display VSM User FixedColor in color palette,1
554701,Provide new Diagram selection tools,1
554702,"While switching to category, remove the exchange edges and hide the ports if possible",1
554703,Add preference to handle the label of Functional chain; Physical Path and Operational Process,1
554705,Copy/Paste layout does not work when there are different graphical elements representing the same semantic element,1
554706,Insert/remove relationships operation in Missions Capabilities diagrams fails,1
554707,Exceptions when creating diagrams,0
554708,Add ability to not display VSM User FixedColor in color palette,1
554709,Copy/Paste for diagram elements does not work in Team context,1
554710,On a diagram cut (Ctrl+x) shall be disabled and not removing only the selected model element,1
554711,Copy-Paste of DiagramElement from a diagram to a different kind of diagram is not forbidden,1
554712,[F2] Renaming project does not rename correctly referenced images in aird,1
554713,"Internal links of Functional Chain are not hidded when  ""Hide Functional Exchanges"" filter is applied",1
554714,"Enhancement on CRI diagrams - add tools for inserting/adding Actor, Component, CapabilityRealization, Involvement Link",1
554715,Show/Hide tool can't remove a function with a constraint attached in Data Flow Diagrams,1
554716,Performance improvement of diagram helpers and services,1
554718,The method CapellaDeleteExternalAction.canExecute is called 10 times for each selection,1
554720,Modify xFCD diagrams to handle Composite Chains,1
554721,Switch category action calculates FunctionExt.getAllExchanges twice,1
554722,Displaying edges between parents if source or target of FunctionalChainInvolvementLink is collapsed,1
554723,Take into account source/targetReferenceHierarchy to display FunctionalChainInvolvementLink in FCD diagram,1
554724,Add a cache for faster category tools refreshes,1
554725,"Add ""Control Node"" & ""Sequence Link"" mappings and creation tools",1
554726,Add the possibility to set the position of a newly created graphical node,1
554727,Accelerators for FCD,1
554728,Use new Sirius capability to automatically launch a refresh on Collapse/Uncollapse of compartment in FCD diagram,1
554729,Insert functions operation inserts same function twice on xDFB,1
554730,Update OPD diagrams with similar diagram filters available in FCD,1
554731,Property view : Browse for Sequence Link > Functional Chain Invovement Links,1
554732,New filters to simplify FCD display,1
554733,XDFB diagrams are incorrectly initialized from composite functional chain contextual elements,1
554734,Through a Diagram using shortcut copy /paste (Ctrl+C/Ctrl+V) paste diagram graphical element twice (reopening session),1
554735,Display new Functional Chain concepts on XAB diagrams,1
554736,Add Composite FC and Sequencing to OA level,1
554737,Remove all OA in OAIB and Functions in XDFB diagram does not work,1
554738,Show in Diagram Editor does not work for Sequence Links associated to FCI Links,1
554739,Creation of physical path should not propose wizard for starting point,1
554740,[Category] Fix category display bugs,1
554741,xDFB 'Functional Chain Elements' tool cannot display functions if there is a Constraint attached,1
554742,"Menu issue using GMF right click menus (edit, copy paste ...)",1
554743,Diagram Copy Paste does not take into account the zoom level,1
554744,Regressions by Function border is always in dashed and italic,1
554745,Diagram Copy Paste does not take into account the validity of the paste location,1
554746,[PERFORMANCE]  Improve the refresh mechanism of Capella diagrams,1
554748,Refactoring of id of diagram tools,1
554749,EvaluationException in Collapse Function Ports Filter,1
554754,Problem with Insert CE on Types in multi-part mode (reusable mode),1
554755,Remove the capability to create diagram CRR because refinement capa is removed from 1.4,1
554756,[Regression] Cannot create a Sequence Message in IS diagram,1
554757,IDB cannot s/h actors inside a target component or actor,1
554758,[Regression] Cannot create a Sequence Message in IS diagram from/to an Actor,1
554759,Insert/Remove Component/Actor does not work in multipart mode,1
554760,"""Reuse"" tools do not work in XAB diagrams",1
554761,Creation of the Physical Path when created on PAB owned by Root Package,1
554762,Diagram Delete From Model button is active when it should not be,1
554763,CE and PL shall be stored in common ancestor (Component or ComponentPkg),1
554764,"Delete the target element from ""Delete From Model"" toolbar action fails",1
554765,"Delete the container of the target element from ""Delete From Model"" toolbar action fails",1
554766,Representation documentation is not migrated,1
554767,Canceling on aird selector must have a correct behavior,1
554768,Diff/Merge issue on .melodymodeller,1
554769,Integration of Diff Merge pattern 0.4.2.,1
554770,Diff/Merge shows differences on transient features,1
554771,New version of DiffMerge and Pattern need to be integrated in Capella 1.0.0,1
554772,Merge all should Ignore semanticResources references when comparing two aird files,1
554774,Diffmerge and Sirius 4.1,1
554775,Add description on DiffMerge categories,1
554776,"Add ""merge all changes"" button to Merge Dialogs for Transitions/REC/REPL",1
554777,Fix Capella contribution to contentTypes,1
554778,Regression on aird diffmerge,1
554779,Support advanced matching,1
554780,Update Capella customization to sync with EDM 0.9.0,1
554781,Improve labels for predefined diff/merge usages,1
554782,Add allocation/deployment links when merging a diagram,1
554783,New matching policy to handle the UID of Sirius,1
554784,Support additional creation contexts for Capella scopes,1
554785,Use actions in comparison viewer,1
554786,Diffmerge on a modal window lead to invalid selection on Capella Project Explorer,1
554787,Improve label of new default diff/merge configuration,1
554788,Last comparison parameters not taken into account,1
554790,CapellaScopeFactory.CapellaScopeDefinition#getDefaultContext() should create a valid domain when session is closed,1
554791,Provide a temporary fix in Capella for EMF DiffMerge bug 548907,1
554792,Provide a temporary fix in Capella for EMF Diff/Merge bug 549331,1
554793,Support Capella 1.4 skeleton elements,1
554794,Dead links on the welcome page,1
554796,Sample Model IFE reference to delete,1
554797,Provide embedded documentation,1
554798,Update Capella Documentation,1
554799,Update doc to remove old tool name,1
554800,Update doc images to remove old proprietary entry,1
554801,"Invalid URL for ""Visit the Capella Forum"" in Capella Welcome page",1
554802,Update documentation to new Sirius features,1
554803,Remove Advanced Automated Layout documentation,1
554804,Documentation: icons of diagram tools and validation rules problem,1
554805,FileNotFoundException when open Help Contents the first time,1
554806,"In Help Contents, image not found for Capella Guide",1
554807,Update of documentation,1
554808,Update rename procedure to take into account afm file in Capella doc,1
554809,Update diff/merge documentation,1
554810,Add documentation about viewpoint migration,0
554812,New section Capella Tips and Tricks,1
554813,Project migration shall be more explicit and better documented in Capella,1
554814,Add Capella Developer Manual,1
554815,Update REC/RPL end user information,1
554816,Add a section for root external contributions,1
554817,Generate documentation for Model Validation Rules,1
554818,Add AQL documentation and explain Acceleo 2 is deprecated,1
554819,[Doc] Deletion of inappropriate words and references,1
554820,Increase the maximum number of help topics that can be printed,1
554821,[Doc] Add some recommendations about the Properties view,1
554822,Capella doc has a very big image size which causes a bad extraction/print (big size) and Validation Rules are not well formed,1
554825,Can't generate documentation,0
554826,[Documentation] Add summary,1
554827,[Documentation] Remove Model Request Interpreter documentation,1
554828,[Documentation] Remove legacy documentation,1
554829,Refer to Eclipse diff/merge and patterns doc,1
554830,Add Kitalpha documentation,1
554831,[Doc] Add documentation about how to activate a viewpoint,1
554832,Update the Tips and Tricks documentation,1
554833,Improve documentation add how to install capella and addons section,1
554834,"Adding NOTICE, CONTRIBUTING and LICENSE files to git repositories",1
554835,Update documentation about drop-in installation,1
554836,Broken link to Capella User Guide,1
554837,Move transfer view documentation to User Interface Section,1
554838,Tips and Tricks for Capella,1
554839,SVG images in the Help section are sometimes not displayed,1
554841,[Documentation] Remove the Part Reusage Tool from Interfaces related Diagrams,1
554842,[PolarSys.Capella] Bypass moderation step in forum,1
554843,[Capella] Private mailing-list,1
554844,[Add-on] HTML export,1
554845,Export DataValue of a DataPkg and ValuePart of a ComplexValue,1
554846,CollectionValue of Class.Property in not exported,1
554847,Export DataValues sub-elementing,1
554849,Bad export of Min and Max Cards of ExchangeItemElements,1
554850,[XHTMLDocGen] Update of build model to match 0.8.2,1
554851,Can't generate documentation with command line,1
554852,Integration of partial Generation,1
554854,"[Docgen] In some cases, links to Diagram Object are not well exported",1
554855,Adding export of constraints,1
554856,Update Docgen generation to Capella 1.0.x,1
554857,Update build model,1
554858,Some links to diargams are not well exported,1
554859,XHtml documentation generation fails with Capella 1.0.0,1
554860,EGF Merge Taks raise NPE,1
554861,Adding new entries in the side bar are not well handled,1
554862,Using branding data provided in the generation wizard,1
554864,Need generation of EIE's Referenced Properties,1
554865,[Gendoc] Pictures contained in description are not exported,1
554866,Fix feature version on 1.0.x,1
554867,[Gendoc] specify tests for the gendoc,1
554868,Fix TP of GenDoc xhtml to use Capella rather than Capella Studio,1
554869,XHtml addon installation fail,1
554870,Export Failed for Empty constraint,1
554875,Capella HTML output does not contain description of function involvements,1
554876,baselessness diagrams in session stops the HTML generation with a NullPointerException,1
554877,HTML Area are generated on CombinedFragment in scenario diagram,1
554878,[REGRESSION][AFM] Generation HTML in command line can use .afm file,1
554880,Add additional fields in HTML export,1
554881,[XHTML Generation] XHTML Generation does not works du to the changes of Capella Metamodels nsuri,1
554883,Add ability to manually select elements to export when generating HTML documentation,1
554884,Addition of PVG in html exports,1
554885,Can't generate the xHtml documentation with CommandLine,1
554886,using UID when transforming links to diagrams,1
554887,Unable to complete installation of XHTMLDocGen with 1.2.0 (package is missing),1
554888,XHTML Documentation Generation : non-xHTML compliancies,1
554889,HTMLdump generated Logical LF page has non-clickable [LFCD]s,1
554890,[XHTML] no Realized/Realizing information for CE nor FE,1
554891,[XHTML] Update URi to Capella 1.3.0 in fcore launcher,1
554892,Fix export of images in description fields,1
554893,PVMT property with enum value not correctly exported in HTLM documentation,0
554894,"Addition of ""elements of interest"" relation in html exports",1
554898,Update to capella 1.3.1,1
554899,Add Exchange Categories to XHTML DocGen,1
554900,Export of absolute path files in description fields,1
554901,Export diagrams in PNG format,1
554902,HTMLdump generates bad-formed XHTML for OperationalActor pages,1
554903,[Capella] Improvement of display of applied requirements,1
554904,HTMLdump OperationalActor page has false links to OpInteractions,1
554905,HTMLdump OpActivity page has no link to OpInteractions,1
554906,Tree view of diagrams in architecture levels,1
554907,HTMLdump generates invalid hyperlinks in descriptions,1
554909,"In function page, columns of Functional Exchanges tables are not complete",1
554910,Display distinction between functional chains and operational processes,1
554911,Pseudo-state elements pages are not generated,1
554912,NPE when no status in project,1
554913,Elements navigation action area overlapping,1
554914,Migration of the Docgen to Capella 1.4.0,1
554915,Communication means navigation links does not exists,1
554916,Source and target sections shall not exist for Interactions and Operational Communication means,1
554918,Improve generation performances,1
554919,Improve generation performances for diagrams,1
554920,Index not displaying when newline in element name,1
554921,Preferences initialization,1
554922,Capabilities content is missing a header,1
554923,Save output path,1
554924,Initial contribution - Push to gerrit failed,0
554925,[Dashboard] Capella Dashboard must be refreshed after external resource change,1
554926,Constraint Owned Specification display shall be the content of the first language Opaque expression,1
554928,Validation issue on OA level with TJ_G_04 rule,1
554929,"Update Rule DCOM_18, DCOM_19, DCOM_01 & DCOM_O2",1
554930,"[TABLE] Summary of requirement is not visible and not editable in Table ""Requirements""",1
554931,"Impossible to set the fields ""Visible in Documentation / Visible in Link Manager / Progress Status / Review"" in diagrams property view.",1
554932,I cannot detach a viewpoint on my model,1
554934,Typing error in DWF_DF_05 message,1
554935,Can't add Physical Link in [EAB] on a PC if links are in : Physical Architecture / Physical context,1
554936,Provides an automatic check to prevent inter-model dependency violation,1
554937,Provides a validation rule to detect inter-model dependency violations and inter-model cycles,1
554938,Take into account IPZilla review remarks.,1
554939,Export of progress monitor feature fails with NPE if resource is on server,1
554940,Initial commit of test framework prototype,1
554941,Capella does not displays Parts in Project Explorer and in diagram according to the project approach,1
554942,Testability issue due to creation of async GUI jobs during session state changes,1
554943,Test framework prototype enhancement,1
554944,Display property values in Capella Explorer View as data values,1
554945,[TEST] JUnit fix for business queries,1
554946,Semantic Browser refactoring,1
554947,Performance issue with information view,1
554948,Modification of REC instanciation when context is the REC (default location modification),1
554949,Uniformization of addons names,1
554950,[Samples] IFE has a fragment inside the main aird,1
554951,[Samples] IFE has its viewpoints duplicated in aird file,1
554953,Decomposition of actors as sub-actors,1
554954,Modes should be able to reference one or more States,1
554955,Add capability to migrate old version of Capella models,1
554958,[ActivityExplorer] Memory Leak after close session,1
554959,Migrate IFE model to 1.0.0,1
554961,Update junit tests,1
554962,Missing icons for basic VP,1
554963,Capella Groovy Contribution,1
554964,[groovy] Add more examples,1
554965,Mass and price diagram elements through all PABs,1
554966,[groovy] Allow scripts to use java libraries,1
554967,Merge of Basic VP from branch master to v1.0.x,1
554968,[Test] ValidationRuleTest can not verify 'valid' objects,1
554969,Need a branch for changes related to bug  [382] Change Viewpoint lifecyle,1
554970,ConcurrentModificationException occurs randomly during auto tests execution,1
554972,[Addons] Build.properties generated for addons is not consistent,1
554973,Add tests for model migration involving viewpoints,1
554977,Bad handling of cross references in some cases,1
554979,Improve Error Messages on Transition,1
554980,Move to test framework some common classes,1
554981,DCOM_20 can be disabled with an invalid exchange,1
554982,Perform Goto from Information View doesn't work,1
554983,Fix RCPTT test on polarsys,1
554985,[SemanticBrowser] Capability realization information in Semantic Browser: Actor and Components are not visible on SB,1
554986,Move to Java 8 as minimum BREE on org.polarsys.capella.common,1
554987,Acceleo queries are not up-to-date,1
554988,Provide a new logger for Capella Usage tracking,1
554989,Change ReportConfiguration.xml path,1
554990,[Regression] Resources are not cleaned in ResourceSet after a session close,1
554991,[REGRESSION] Add Capella Element appears on Sirius representation selection,1
554993,Command Line (filepath) doesn't work on models having a space in the name,1
554994,"[PROJECT EXPLORER] By default, hide component parts in Pr. Explorer and ease Show in Project Explorer for hidden elements",1
554996,Improve readibility of ScopedCapellaPreferencesStore,1
554998,Adding Mass Editing and Mass Visualization capabilities to Capella,1
554999,Uniqueness of property sections IDs,1
555000,Contributing Capella Filtering Addon,1
555000,Contributing Capella Filtering Addon,1
555001,[Activity Explorer] Perform an automated transition of System Analysis Capabilities in Sys Analysis tab,1
555002,Rename the Project and SystemEngineering model objects when renaming Capella project,1
555003,[Filtering] add project level filtering cache,1
555004,[Filtering] adding Criterion to a model element should impact other semantic elements (e.g. parts),1
555005,[Filtering] Refactoring Decorators to Sirius diag extensions,1
555006,[Filtering] Enable Filtering Result Composition,1
555008,[Filtering] review Diagram Filtering Criteria view,1
555009,[Filtering] Review contribution to Filtering,1
555011,Command Line outputfolder should be optional,1
555012,[Filtering] Filtering CLI and API,1
555013,[Filtering] Enable Derivation Composition,1
555014,Optimize Capelle Console view logger,1
555015,[Filtering] Capella 1.3 compatibility,1
555016,Potential NPE in QuickFixAllConstraintMarkersHandler#getContributionItems,1
555017,[Filtering] Migration capability from Productline to Filtering Addon,1
555018,[Filtering VP] Transition raises NPE,1
555019,[Filtering VP] Transition LC2PC does not work,1
555020,Contributing Capella Cybersecurity Addon,1
555021,Update to EPL-2.0,1
555022,Reimplementation for Capella Search and Replace,1
555025,Support for @Grab annotations,1
555027,[groovy] collection methods not working on result of eObject.eAllContents(),1
555028,[LIBRARY] Can't modify from a project the referenced libraries of referenced library,1
555029,[LIBRARY] Read only access on unreferenced resource,1
555033,"Saving a ""dirty"" does not remove its dirty state",1
555034,Bad library resources loaded in CapellaWorkspaceProvider,1
555035,CapellaWorkspaceProvider should provide API to test if an EditingDomain is the WorkspaceDomain,1
555041,[afm] fix support for libraries,1
555047,Transfer view add toolbar buttons to add required/all required dependencies to the staging area,1
555048,Activate Capella Project Explorer when clicking on Transfer View Tooltip hyperlink,1
555049,[Move Elements] Add toolbar actions to context menus,1
555050,[Move Elements] Allow force move of elements even if validation fails,1
555052,System Actor cannot specialize System Actor in used Library,1
555053,[Move Elements] Log move element actions,1
555054,[Move Elements] Stage viewer UI improvements,1
555055,[Move Elements] Remove incubation status from transfer view,1
555056,[Move Elements] Update documentation,1
555057,[Move Elements] Reset view when associated session is closed,1
555058,[Move Elements] Label for transfer view information messages should be human readable,1
555059,Add command to send selection to TransferView,1
555062,Mass Viewpoint,0
555063,Migration to Capella 1.0.x,1
555064,[Basic Mass] Can't create a Mass element on the Physical system,1
555066,Displaying UI Section of Viewpoint Element when it parent is selected,1
555067,Updating colors should not be applied when maxValue is 0,1
555068,"[Mass VP] Removing ""Current"" from labels",1
555069,[Basic Viewpoints] Preparing version 1.0.1,1
555070,"Adding ""Basic"" in the title of the view",1
555072,Update Mass Viewpoint to work on Capella 1.1.x,1
555074,update basic viewpoints to 1.2.0,1
555076,migrate to capella 1.4.0,1
555077,[Validation Rule] Check delegation for functional exchanges,1
555078,Rule I_34 should not check dependency among fragments,1
555079,Validation rules on State (DoActivity/Entry/Exit) and State Transition about trigger have to be updated.,1
555080,[DWF_DS_20] Functions shall be considered as allocated if all their subfunctions are allocated.,1
555082,Consolidate model validation on Component and Data,1
555083,Add new validation rule to check conformance between a RPL and its REC,1
555085,IMarkerResolutionGenerator who are using ruleId attributes are no longer working,1
555086,"NullPointerException : The constraint ""org.polarsys.capella.core.data.interaction.validation.DWF_DS_21"" is disabled.  It will not be evaluated.",1
555087,[REGRESSION MARS] Command Line validation does not work.,1
555088,Add two validation rules to ensure ExchangeItemAllocation protocols consistency,1
555089,Problem while switching between validation profiles,1
555090,Rule DWF_D_38 should check on Properties instead of Associations,1
555091,Warning for exchange items on a port that are not used in associated exchanges,1
555092,Warning if a port and all its exchanges do not have exactly the same exchange items,1
555093,Warning if functional exchanges with common source and/or target have different names,1
555094,Quickfixes for I_xy show for validation markers for rules DWF_I_xy,1
555098,[Move Elements] Do not allow partial move of elements connected to exchange,1
555100,Validation Rule DWF_DS_20 on StateFragment returns a bad statement due to role assigned to lifelines,1
555101,Information view messages logged during a model validation,1
555102,Rule DWF_D_42 raise error on some Capella model,1
555106,Cannot create an Association between two packages because of a cycle with another package,1
555107,"In diagrams, the Validate Model action only validates first element in selection",1
555108,Add QuickFix for EMF error concerning unresolved proxy,1
555109,Add a new validation rule and quickfix to detect duplicated Involvement links,1
555110,Validation rule + quick fix for EnumerationLiteral elements that are not typed by their parent,1
555111,[Move Elements] Referential validation during move produces duplicated results,1
555112,[Move Elements] Referential constraints batch validation checks elements multiple times,1
555113,Add query filter to referential constraint validation,1
555114,NPE in MarkerViewColumns,1
555115,Improve labels for referential constraints validation rule I_38,1
555117,Validation fails silently during proxy resolution,1
555118,Fix NPE during validation TJ_G_05,1
555119,Add new validation rule to check Component with no referencing parts,1
555122,Fix Validation Rules to be consistent with the new Node/Behavior Actor,1
555123,Model Validation does not detect invalid rec / rpl catalog links,1
555124,DataTypes are considered as automatic merges,1
555125,Enhance UI with Capella-specific behaviors,1
555126,Avoid unnecessary Viewpoint contributions,1
555127,Add RCPTT tests for pattern,1
555128,Contribute an ID Handler for pattern elements,1
555129,Some enhancements for the rule DCON_01,1
555130,New validation rule to detect invalid pattern instances,1
555131,Restrict occurrences of Patterns popup menu,1
555132,[regression] Order of contextual menu items is wrong,1
555133,[Patterns] Update to Capella 1.4,1
555134,Performance Viewpoint,0
555135,Migration to Capella 1.0.x,1
555136,Duplicate sections when using Perfo VP,1
555137,[PerfoVP] Renaming the classes timeCapacity and timeConsumption,1
555138,[PerfoVP] Renaming the classes timeCapacity and timeConsumption,1
555139,Updating colors should not be applied when value is 0,1
555140,"[Perfo VP] Removing ""Current"" from labels",1
555142,Update Perfo Viewpoint to work on Capella 1.1.x,1
555144,migrate to capella 1.4.0,1
555145,Price Viewpoint,0
555146,Migration to Capella 1.0.x,1
555147,[Basic Price] Can't create a Price element on the Physical system,1
555150,"[Price VP] Removing ""Current"" from labels",1
555151,Update Price Viewpoint to work on Capella 1.1.x,1
555152,Migrate Basic Price to Capella 1.3.x,1
555153,migrate to capella 1.4.0,1
555154,[REC-RPL] Exception on edition of properties via properties view,1
555155,"Can not cancel when using ""Pencil"" tool",1
555156,"Change a field label in ""Management"" tab",1
555157,Browse on StateTransition.triggers doesn't work with libraries,1
555158,Capella properties view framework extensibility,1
555159,AbstractStructuredRepresentationField should check type before reflective access,1
555160,[Performance] Assigning a type to a property is very slow,1
555162,Add ValueGroups for Integer and Real attributes.,1
555163,Basic ergonomic enhancements for Linked Text of Opaque Expression,1
555164,Ease Constraint edition in Properties view,1
555165,"Some elements are not displayed correctly in ""Properties"" view, ""Expert"" tab",1
555166,Nebula Richtext is not displayed in IE compatibility mode,1
